Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Material,Occasion,Pattern,Sole Material,Sustainable,Type,Warranty,BIS Certificate Image URL,BIS Certificate Number,BIS Expiry Date,Character,Contact Brand or Retailer for pre-sales product queries
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,280 Ratings,"A pair of navy blue and white embellished clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
Crocs,Kids Textured Clogs,₹3146,MRP ₹4495,(30% OFF),4.3,10 Ratings,"A pair of grey textured clogs, with backstrapand slip-on closure
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Solid,Rubber,Regular,Clogs,,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
BAESD,Unisex Kids Embellished Clogs Sandals,₹624,MRP ₹2499,(75% OFF),4.4,26 Ratings,"A pair of blue clogs
Croslite upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Croslite,Casual,Self Design,EVA,Regular,Clogs,,,,,,
NEOZ,Kids Applique Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,285 Ratings,"A pair of olive green,red and black applique embellished Clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
Floatz,Boys Rubber Thong Flip-Flops,₹1104,MRP ₹1299,(15% OFF),4.5,26 Ratings,"A pair of sea green & white solid thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Crocs,Kids Navy Blue Bayaband Clogs,₹2596,MRP ₹3995,(35% OFF),4.6,649 Ratings,"A pair of navy blue solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
BAESD,Unisex Kids Slip-On Croslite Clogs Sandals,₹624,MRP ₹2499,(75% OFF),3.9,17 Ratings,"A pair of white clogs
Croslite upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty:NA
Warranty provided by brand owner/manufacturer",Croslite,Casual,Self Design,EVA,Regular,Clogs,,,,,,
NEOZ,Kids Applique Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,286 Ratings,"A pair of pink,blue & white applique embellished Clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
Crocs,Kids Solid Clogs with Backstrap,₹3146,MRP ₹4495,(30% OFF),4.7,18 Ratings,"A pair of black solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Crocs,Kids Pink Bayaband Solid Clogs,₹2596,MRP ₹3995,(35% OFF),4.7,208 Ratings,"A pair of pink solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Crocs,Unisex Kids Navy Blue Mickey & Friends Lights Applique Croslite Clogs with Cut-Outs,₹3146,MRP ₹4495,(30% OFF),4.6,245 Ratings,"A pair of navy blue clogs with mickey & friends lights applique detail at midsole and cut-outs at toe
Croslite upper with slip-on closure
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty to be provided by the brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,Mickey & Friends,
Crocs,Kids Navy Blue Disney Mickey Lights Clogs,₹2876,MRP ₹3995,(28% OFF),4.5,245 Ratings,"A pair of navy blue solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,Mickey Mouse,
BAESD,Kids 3D Jerry Cartoon Character Clogs,₹649,MRP ₹2499,(74% OFF),4.4,27 Ratings,"A pair of pink clogs
Croslite upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Croslite,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Fame Forever by Lifestyle,Girls Self Design Clogs,₹679,MRP ₹799,(15% OFF),3.5,18 Ratings,"A pair of peach-coloured and grey self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Crocs,Kids Solid Clogs with Backstrap,₹1946,MRP ₹2995,(35% OFF),4.6,63 Ratings,"A pair of navy blue solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,286 Ratings,"A pair of grey and black self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
NEOZ,Boys Black & Red Self Design Clogs,₹767,MRP ₹1599,(52% OFF),4.4,556 Ratings,"Black & Red Self Design Clogs
Rubber Upper
Cushioned footbed
Textured & patterned outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
NEOZ,Kids Super Applique Detail Clogs,₹767,MRP ₹1599,(52% OFF),4.6,195 Ratings,"A pair of green & red clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Printed,Synthetic,Regular,Clogs,,,,,,
Baby Moo,Kids Colourblocked Waterproof Anti-Skid Sliders,₹764,MRP ₹899,(15% OFF),4.3,129 Ratings,"A pair of orange and white colourblocked sliders ,has regular styling
Plastic upper
Cushioned footbed
Textured and patterned outsole

Features:
Waterproof
Anti-skid",Plastic,Casual,Colourblocked,Rubber,Regular,Sliders,,,,,,
NEOZ,Boys Grey & Green Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.4,584 Ratings,"A pair of grey and green self design clogs
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
Pantaloons Junior,Girls Printed Sliders,₹629,MRP ₹699,(10% OFF),4.8,23 Ratings,"A pair of pink and purple printed sliders
Pu upper
Cushioned footbed
Patterned eva outsole",PU,Casual,Printed,EVA,Regular,Sliders,,,,,,
NEOZ,Boys Grey & Blue Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,462 Ratings,"A pair of grey and blue self design clogs
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,287 Ratings,"A pair of black and white self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
Crocs,Unisex Kids Blue Solid Croslite Clogs,₹2916,MRP ₹3995,(27% OFF),4.7,273 Ratings,"A pair of blue solid clogs
Croslite upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Rubber,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,281 Ratings,"A pair of grey and green embellished clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
NEOZ,Kids Textured Clogs,₹863,MRP ₹1599,(46% OFF),4,48 Ratings,"A pair of olive green clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Solid,Synthetic,Regular,Clogs,,,,,,
Little Surprise Box LLP,Kids Printed Rubber Sliders,₹750,MRP ₹1250,(40% OFF),4.6,8 Ratings,"A pair of green and white printed sliders
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Printed,Rubber,Regular,Sliders,,,,,,
Red Tape,Solid Unisex Kids Rubber Clogs,₹828,MRP ₹2763,(70% OFF),4.5,39 Ratings,"A pair of lavender solid clogs
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer",Rubber,Casual,Solid,EVA,Regular,Clogs,45 days,,,,,
Crocs,Kids Pink Croslite Clogs,₹3146,MRP ₹4495,(30% OFF),4.6,141 Ratings,"A pair of pink solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Crocs,Kids Pink Bayaband Solid Clogs,₹2921,MRP ₹4495,(35% OFF),4.7,256 Ratings,"A pair of pink solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Crocs,Kids Solid Clogs with Backstrap,₹1946,MRP ₹2995,(35% OFF),4.6,59 Ratings,"A pair of white solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
NEOZ,Kids Super Applique Detail Clogs,₹767,MRP ₹1599,(52% OFF),4.6,192 Ratings,"A pair of peach-coloured & red clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Printed,Synthetic,Regular,Clogs,,,,,,
NEOZ,Kids Super Applique Detail Clogs,₹767,MRP ₹1599,(52% OFF),4.6,192 Ratings,"A pair of black & red clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Printed,Synthetic,Regular,Clogs,,,,,,
NEOZ,Boys Black & Red Self Design Clogs,₹767,MRP ₹1599,(52% OFF),4.4,558 Ratings,"Black & Red Self Design Clogs
Rubber Upper
Cushioned footbed
Textured & pattenred outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
Red Tape,Solid Unisex Kids Rubber Clogs,₹828,MRP ₹2763,(70% OFF),4.4,68 Ratings,"A pair of green solid clogs
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer",Rubber,Casual,Solid,EVA,Regular,Clogs,45 days,,,,,
Crocs,Kids Pink Solid Clogs,₹2876,MRP ₹3995,(28% OFF),4.7,472 Ratings,"A pair of pink solid clogs
Croslite upper
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
NEOZ,Kids Cut-Out Detail Clogs,₹863,MRP ₹1599,(46% OFF),4.1,51 Ratings,"A pair of navy blue cut-out detail clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Self Design,Synthetic,Regular,Clogs,,,,,,
Crocs,Kids Solid Clogs with Backstrap,₹2621,MRP ₹3495,(25% OFF),4.9,14 Ratings,"A pair of blue solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Paragon,Kids Self Design Anti-Skid Durable Clogs,₹419,MRP ₹699,(40% OFF),3.9,94 Ratings,"A pair of blue and red self design clogs
Fabric upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Fabric,Casual,Self Design,EVA,Regular,Clogs,1 month,,,,,
Pantaloons Junior,Girls Printed Sliders,₹664,MRP ₹699,(5% OFF),4.7,10 Ratings,"A pair of orange and purple printed sliders
Plastic upper
Cushioned footbed
Patterned eva outsole",Plastic,Casual,Printed,EVA,Regular,Sliders,,,,,,
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,281 Ratings,"A pair of black and white embelished clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
KazarMax,Girls Pink & White Printed Clogs,₹959,MRP ₹1999,(52% OFF),4.3,146 Ratings,"A pair of pink and white printed clogs
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month provided by brand/manufacturer",Synthetic,Casual,Printed,EVA,Regular,Clogs,1 month,https://www8.pdf2go.com/v2/dl/web7/download-file/1283c850-85b6-4446-bc0f-40c8727b13f2/9512516619.jpg,CML:9512516619,05/03/2025,,
Crocs,Kids Unisex Navy Blue Solid Croslite Crocband Clogs,₹2916,MRP ₹3995,(27% OFF),4.3,41 Ratings,"A pair of navy blue solid clogs
Croslite upper with slip-on closure
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by the brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Little Surprise Box LLP,Kids Self Design Rubber Clogs,₹750,MRP ₹1250,(40% OFF),4.7,9 Ratings,"A pair of blue and red self design clogs
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
NEOZ,Girls Green & Blue Rubber Clogs,₹854,MRP ₹1899,(55% OFF),4.5,204 Ratings,"A pair of green and blue self design clogs
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
Crocs,Kids Solid Clogs with Backstrap,₹2916,MRP ₹3995,(27% OFF),4.4,10 Ratings,"A pair of blue solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
NEOZ,Kids Cut-Out Detail Clogs,₹863,MRP ₹1599,(46% OFF),4.1,51 Ratings,"A pair of black cut-out detail clogs
Synthetic upper
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Self Design,Synthetic,Regular,Clogs,,,,,,
NEOZ,Girls Pink Self Design Clogs,₹767,MRP ₹1599,(52% OFF),4.5,511 Ratings,"A pair of pink self design clogs
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Clogs,,,,,,
Crocs,Unisex Kids Pink Mickey & Friends Lights Applique Croslite Clogs with Cut-Outs,₹3146,MRP ₹4495,(30% OFF),4.6,157 Ratings,"A pair of pink clogs with mickey & friends lights applique detail at midsole and cut-outs at toe
Croslite upper with slip-on closure
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty to be provided by the brand owner/manufacturer",Croslite,Casual,Printed,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,Mickey & Friends,
KazarMax,Girls Self Design Waterproof Flip Flops,₹999,MRP ₹2499,(60% OFF),4.4,7 Ratings,"A pair of black self design flip flops
Rubber upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Rubber,Casual,Self Design,EVA,Regular,Slip-On,1 month,https://www8.pdf2go.com/v2/dl/web7/download-file/1283c850-85b6-4446-bc0f-40c8727b13f2/9512516619.jpg,CML:9512516619,05/03/2025,,
Floatz,Boys Textured Thong Flip-Flops,₹1104,MRP ₹1299,(15% OFF),4.7,11 Ratings,"A pair of red and white textured thong flip-flops
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Floatz,Boys Rubber Sliders With Laser Cuts,₹1104,MRP ₹1299,(15% OFF),4.4,15 Ratings,"A pair of olive green & white solid sliders
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Solid,EVA,Regular,Sliders,,,,,,
TRASE,Unisex Kids Clogs,₹692,MRP ₹899,(23% OFF),3.6,5 Ratings,"A pair of yellow and blue self design clogs
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Self Design,EVA,Regular,Clogs,1 month,,,,,
NEOZ,Boys Navy Blue Solid Clogs,₹767,MRP ₹1599,(52% OFF),4.5,511 Ratings,"A pair of navy blue solid clogs
Has slip-on closure
Cushioned footbed",Rubber,Casual,Solid,Rubber,Regular,Clogs,,,,,,
Pantaloons Junior,Boys Black & Red Printed Sliders,₹664,MRP ₹699,(5% OFF),4.4,10 Ratings,"A pair of black and red printed sliders
Fabric upper
Cushioned footbed
Patterned eva outsole",Fabric,Casual,Printed,EVA,Regular,Sliders,,,,,,
Fame Forever by Lifestyle,Boys Printed Sliders,₹679,MRP ₹799,(15% OFF),4.4,8 Ratings,"A pair of blue and white printed sliders
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Printed,EVA,Regular,Sliders,,,,,,
Baby Moo,Kids Colourblocked Waterproof Anti-Skid Sliders,₹764,MRP ₹899,(15% OFF),4.4,130 Ratings,"A pair of pink and white colourblocked sliders ,has regular styling
Plastic upper
Cushioned footbed
Textured and patterned outsole

Features:
Waterproof
Anti-skid",Plastic,Casual,Colourblocked,Rubber,Regular,Sliders,,,,,,
Fame Forever by Lifestyle,Boys Self Design Rubber Clogs,₹639,MRP ₹799,(20% OFF),4.4,29 Ratings,"A pair of off white and yellow self design clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Fame Forever by Lifestyle,Girls Mickey And Friends Printed Clogs,₹679,MRP ₹799,(15% OFF),4.4,39 Ratings,"A pair of pink and red mickey and friends printed clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Printed,EVA,Regular,Clogs,,,,,,
Baby Moo,Kids Crocodile Waterproof & Anti-Skid Sliders,₹1019,MRP ₹1199,(15% OFF),4.6,141 Ratings,"A pair of round toe yellow & white sliders ,has regular styling
Slip-on detail
Plastic upper
Cushioned footbed
Textured and patterned outsole
Features:
Waterproof
Anti-skid",Plastic,Casual,Self Design,Rubber,Regular,Sliders,,,,,,
