Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
BOYZ N GALZ,Girls Velcro Embellished Party Ballerinas Flats,₹714,MRP ₹1099,(35% OFF),4.6,8 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Embellished,Party,Bows,Regular,TPR,
BAESD,Girls Printed Velcro Ballerinas,₹624,MRP ₹2499,(75% OFF),4.6,28 Ratings,"A pair of pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Western - Embellished,Regular,TPR,
Marks & Spencer,Women Pink Ballerinas with Bows Flats,₹2009,MRP ₹2999,(33% OFF),4.3,93 Ratings,"A pair of pink ballerinas
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,PVC,
Van Heusen Woman,Studded Detail Pointed-Toe Mules,₹1974,MRP ₹2499,(21% OFF),4,44 Ratings,"A pair of black pointed-toe mules
Has regular styling and no backstrap 
With studded detail
Upper Material: PU
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Resin,
BOYZ N GALZ,Girls Shimmered Party Ballerinas with Bows,₹746,MRP ₹899,(17% OFF),4,31 Ratings,"A pair of gold-toned ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Bows,Regular,PVC,
BAESD,Girls Embellished Bellerinas,₹659,MRP ₹1499,(56% OFF),4.1,41 Ratings,"A pair of black pointed toe embellished bellerinas
Synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Velcro,Solid,Casual,Western - Embellished,Regular,PU,
BOYZ N GALZ,Girls Bow Embellished Ballerinas,₹749,MRP ₹999,(25% OFF),4.8,17 Ratings,"A pair of pink bow embellished ballerinas
Upper material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Bows,Regular,PVC,
Pantaloons Junior,Girls Embellished Open Toe Flats,₹764,MRP ₹899,(15% OFF),4.4,15 Ratings,"A pair of beige & pink embellished open toe flats
PU upper
Cushioned footbed
PU outsole",Open Toe Flats,Open Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,PU,
BOYZ N GALZ,Girls Embellished Mojaris,₹699,MRP ₹999,(30% OFF),4.8,14 Ratings,"A pair of white embellished mojari
PU upper
Cushioned footbed
Textured and patterned outsole",Mojaris,Round Toe,Slip-On,Embellished,Casual,,Regular,TPR,
Shoetopia,Girls Textured Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.6,12 Ratings,"A pair of gold-toned textured open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Textured,Casual,,Regular,TPR,
BOYZ N GALZ,Girls Embellished Bow Detailed Ballerinas,₹749,MRP ₹999,(25% OFF),4,8 Ratings,"A pair of white textured bow detailed ballerinas
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,PVC,
Pantaloons Junior,Girls Embellished Round Toe Ballerinas Flats,₹759,MRP ₹799,(5% OFF),4.3,18 Ratings,"A pair of pink ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Ethnic Mules Flats,₹699,MRP ₹1999,(65% OFF),4.1,93 Ratings,"A pair of black mules
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,Zip,Solid,Ethnic,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Embellished Ballerinas,₹710,MRP ₹899,(21% OFF),4.2,14 Ratings,"A pair of off white ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,TPR,
Khadims,Girls Gold-Toned Open Toe Flats with Buckles,₹374,MRP ₹499,(25% OFF),4,258 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Buckle,Solid,Casual,Buckles,Mid-Top,TPR,
Shoetopia,Girls Twisted Strap Open Toe Flats,₹699,MRP ₹1999,(65% OFF),4.1,48 Ratings,"A pair of cream-coloured twisted strap open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,TPR,
MINI KLUB,Girls Embellished Ballerinas Flats,₹649,MRP ₹1299,(50% OFF),2.4,7 Ratings,"A pair of black Embellished Ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,PU,
El Paso,Women Open Toe Flats,₹829,MRP ₹2899,(Rs. 2070 OFF),3.9,2.5k Ratings,"A pair of nude-coloured open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Round Toe,Slip-On,Solid,Casual,Buckles,Regular,EVA,3 months
BAESD,Girls Embellished Ballerinas Flats,₹624,MRP ₹2499,(75% OFF),3.9,24 Ratings,"A pair of silver-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Embellished,Party,Western - Embellished,Regular,TPR,
Shoetopia,Girls Backstrap Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,46 Ratings,"A pair of pink open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Solid,Casual,,Regular,PU,
BAESD,Girls Embellished Party Anti Slip Sole Ballerinas,₹649,MRP ₹2499,(74% OFF),4.1,173 Ratings,"A pair of white ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Features:
Bellies For Girls Kids
Slip-ON Easy To Wear
With Rounded Toe
Anti Slip Sole",Ballerinas,Round Toe,Ankle Loop,Embellished,Party,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Embellished Ballerinas,₹719,MRP ₹899,(20% OFF),4.4,10 Ratings,"A pair of pink embellished ballerinas
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,TPR,
BAESD,Girls Embellished Round Toe Ballerinas,₹659,MRP ₹1499,(56% OFF),4,77 Ratings,"A pair of white ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Buckle,Embellished,Casual,Western - Embellished,Regular,PU,
Minesole,Girls Textured Bow Detail Ballerinas,₹868,MRP ₹1099,(21% OFF),5,7 Ratings,"A pair of round toe pink textured bow detail ballerinas, has regular styling, velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Velcro,Textured,Casual,Bows,Regular,TPR,1 month
KazarMax,Girls Flamingo Print Ballerinas,₹899,MRP ₹1999,(55% OFF),4.5,2.6k Ratings,"A pair of round-toe sea green and pink slip-ons, has regular styling, slip-on detail
Mesh flamingo print upper with elasticated strap
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,EVA,1 month
KazarMax,Girls Beige Embellished Ballerinas Flats,₹892,MRP ₹1899,(53% OFF),4.5,1.6k Ratings,"A pair of ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Velcro,Solid,Casual,Western - Embellished,Regular,TPR,1 month
BAESD,Girls Textured Party Ballerinas With Bows & LED Lights,₹699,MRP ₹2499,(72% OFF),4.1,350 Ratings,"A pair of cream coloured & blue ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole , with  LED lights",Ballerinas,Round Toe,Velcro,Textured,Party,Bows,Regular,TPU,
KazarMax,Girls Printed Ballerinas,₹899,MRP ₹1999,(55% OFF),4.5,2.6k Ratings,"A pair of round-toe pink and lavender printed slip-on ballerinas, has regular styling, slip-on with elasticated strap detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,EVA,1 month
BAESD,Girls Printed Velcro Ballerinas,₹624,MRP ₹2499,(75% OFF),4.6,27 Ratings,"A pair of black ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Colourblocked Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,46 Ratings,"A pair of green colourblocked open toe flats & back strap detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Colourblocked,Casual,,Regular,PU,
KazarMax,Girls Conversational Printed Ballerinas,₹859,MRP ₹1999,(57% OFF),4.5,2.6k Ratings,"A pair of pink ballerinas
Upper Material: mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,EVA,1 month
Shoetopia,Girls Ballerinas with Bows Flats,₹599,MRP ₹999,(40% OFF),4.3,16 Ratings,"A pair of white ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Backstrap,Solid,Casual,Bows,Regular,TPR,
BAESD,Girls Textured Ballerinas with Bows Flats,₹624,MRP ₹2499,(75% OFF),4.4,99 Ratings,"A pair of pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Textured,Casual,Bows,Regular,TPR,
Shoetopia,Girls Ballerinas with Bows,₹699,MRP ₹999,(30% OFF),3.4,5 Ratings,"A pair of red round toe ballerinas with bow
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,TPR,
Pantaloons Junior,Girls Embellished Bow Detail Ballerinas,₹679,MRP ₹799,(15% OFF),4.4,15 Ratings,"A pair of white embellished bow detail ballerinas
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,TPR,
Shoetopia,Girls Textured Party Ballerinas,₹799,MRP ₹1999,(60% OFF),3.4,5 Ratings,"A pair of gold-toned mules
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Mules,Round Toe,Backstrap,Solid,Party,,Regular,TPR,
KazarMax,Girls Peach-Coloured Party Ballerinas Flats,₹949,MRP ₹2499,(62% OFF),4.5,424 Ratings,"A pair of ballerinas
Upper Material: mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Velcro,Woven Design,Party,Western - Embellished,Regular,EVA,1 month
Shoetopia,Girls Ballerinas Flats,₹799,MRP ₹1999,(60% OFF),4.2,33 Ratings,"A pair of black ballerinas
Upper Material: synthetic patent
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Backstrap,Solid,Casual,Western - Embellished,Regular,Resin,
Fame Forever by Lifestyle,Girls Embellished Open Toe Flats With Velcro Closure,₹849,MRP ₹999,(15% OFF),4.7,41 Ratings,"A pair of round-toe pink open-toe flats 
PU upper material
Cushioned footbed
Patterned PU outsole",Open Toe Flats,Open Toe,Velcro,Embellished,Casual,Western - Embellished,Regular,PU,
Pantaloons Junior,Girls Printed Ballerinas with Bows Flats,₹759,MRP ₹799,(5% OFF),4.4,16 Ratings,"A pair of lavender ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Lace-Ups,Printed,Casual,Bows,Regular,TPR,
BAESD,Girls Printed LED Ballerinas,₹774,MRP ₹3099,(75% OFF),4.3,72 Ratings,"A pair of white printed LED ballerinas
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Printed,Party,Western - Embellished,Regular,TPR,
KazarMax,Girls White Embellished Ballerinas Flats,₹892,MRP ₹1899,(53% OFF),4.5,1.6k Ratings,"A pair of white ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Velcro,Embellished,Casual,Western - Embellished,Regular,TPR,1 month
Shoetopia,Girls Ballerinas with Bows Flats,₹699,MRP ₹1999,(65% OFF),4.3,30 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Solid,Casual,Bows,Regular,TPR,
Shoetopia,Girls Ballerinas with Bows Flats,₹699,MRP ₹1999,(65% OFF),4.3,30 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Solid,Casual,Bows,Regular,TPR,
KID1,Girls Embellished One Toe Flats,₹875,MRP ₹1199,(27% OFF),3.2,9 Ratings,"A pair of gold-toned embellished one toe flats
Rubber upper
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,Backstrap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
BAESD,Girls Embellished Ballerinas,₹659,MRP ₹1499,(56% OFF),4,77 Ratings,"A pair of gold-toned embellished ballerinas, with velcro closure
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Solid,Party,Western - Embellished,Regular,PU,
Pantaloons Junior,Girls Embellished Party T-Strap Flats,₹719,MRP ₹899,(20% OFF),4.8,8 Ratings,"A pair of gold-toned t-strap flats
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Round Toe,Backstrap,Embellished,Party,Ethnic - Embellished,Regular,TPR,
BAESD,Girls Embellished Pointed Toe Ballerinas With Bows,₹624,MRP ₹2499,(75% OFF),4.4,100 Ratings,"A pair of peach-coloured ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Embellished,Casual,Bows,Regular,TPR,
BAESD,Girls Pink Printed Party Ballerinas with Laser Cuts Flats,₹699,MRP ₹2499,(72% OFF),4.2,97 Ratings,"A pair of pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Bows,Regular,TPR,
Shoetopia,Girls Printed Ballerinas Flats,₹799,MRP ₹1999,(60% OFF),4.4,27 Ratings,"A pair of mauve ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,No Back Strap,Printed,Work,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Yellow Bows Embellished Ballerinas Flats,₹663,MRP ₹799,(17% OFF),4.5,23 Ratings,"A pair of yellow ballerinas
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Bows,Regular,TPR,
Shoetopia,Girls Striped Ballerinas with Bows Flats,₹799,MRP ₹1999,(60% OFF),4.4,27 Ratings,"A pair of black ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Striped,Work,Bows,Regular,TPR,
BAESD,Girls Embellished Round Toe Ballerinas,₹659,MRP ₹1999,(67% OFF),3.9,75 Ratings,"A pair of brown round toe ballerinas
Upper Material: synthetic patent
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Embellished,Casual,Western - Embellished,Regular,PU,
Pantaloons Junior,Girls Printed Ballerinas Flats,₹764,MRP ₹899,(15% OFF),4.7,13 Ratings,"A pair of pink ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Printed,Casual,Western - Embellished,Regular,TPR,
BAESD,Girls Printed Party Ballerinas with Western - Embellished,₹699,MRP ₹2499,(72% OFF),4.2,97 Ratings,"A pair of black ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Ankle Loop,Printed,Casual,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Printed Ballerinas,₹719,MRP ₹799,(10% OFF),4.4,18 Ratings,"A pair of white embellshed ballerinas
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Printed,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Embellished Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.5,10 Ratings,"A pair of silver-toned embellished open toe flats & backstrap detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,PU,
BAESD,Girls Embellished Printed Party Ballerinas With Bows & LED Lights,₹774,MRP ₹3099,(75% OFF),4.3,295 Ratings,"A pair of peach-coloured ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Ankle Loop,Embellished,Party,Bows,Regular,TPR,
Shoetopia,Girls Party Ballerinas with Bows Flats,₹699,MRP ₹1999,(65% OFF),4.5,35 Ratings,"A pair of black ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Buckle,Woven Design,Party,Bows,Regular,TPR,
Pantaloons Junior,Girls Embellished Ballerinas,₹719,MRP ₹899,(20% OFF),3.9,8 Ratings,"A pair of peach-coloured embellished ballerinas
Pu uppeer
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,TPR,
KazarMax,Girls Floral Print Ballerinas,₹899,MRP ₹1999,(55% OFF),4.5,2.6k Ratings,"A pair of round-toe peach-coloured, teal green and red slip-ons, has regular styling, slip-on detail
Mesh floral print upper with elasticated strap
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,EVA,1 month
Pantaloons Junior,Girls Printed Ballerinas,₹719,MRP ₹799,(10% OFF),4.4,33 Ratings,"A pair of blue printed ballerinas
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Printed,Casual,,Regular,TPR,
El Paso,Buckles Open Toe Flats,₹799,MRP ₹2899,(Rs. 2100 OFF),3.9,2.5k Ratings,"A pair of camel brown open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,EVA,3 months
Fame Forever by Lifestyle,Girls Embellished T-Strap Flats,₹849,MRP ₹999,(15% OFF),4,20 Ratings,"A pair of gold toned embellished t-strap flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Open Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,PU,
BOYZ N GALZ,Girls Embellished Round Toe Bows Ballerinas,₹692,MRP ₹899,(23% OFF),4.8,5 Ratings,"A pair of pink embellished round toe ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Western - Embellished,Regular,PVC,
Minesole,Girls Textured Round Toe Ballerinas,₹813,MRP ₹1099,(26% OFF),4.6,5 Ratings,"A pair of round toe copper-toned Ballerinas,has regular styling,
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Ballerinas,Round Toe,Backstrap,Textured,Casual,,Regular,TPR,1 month
Anouk,Women Embellished Open Toe Flats,₹594,MRP ₹1699,(65% OFF),4.3,329 Ratings,"A pair of cream-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Rubber,
Fame Forever by Lifestyle,Girls Round Toe Ballerinas,₹849,MRP ₹999,(15% OFF),4.5,54 Ratings,"A pair of round toe pink ballerinas ,has regular styling,
Slip-on detail
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,PU,
Styli,Brown Interlocked Strap Open Toe Flats,₹806,MRP ₹949,(15% OFF),4.1,536 Ratings,"A pair of brown interlocked strap open toe flats
Upper material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,Rubber,
BAESD,Girls Embellished Party Ballerinas,₹599,MRP ₹2499,(76% OFF),4.1,118 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Embellished,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Colourblocked T-Strap Flats,₹699,MRP ₹1999,(65% OFF),4.3,8 Ratings,"A pair of gold-toned t-strap flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Pointed Toe,No Back Strap,Colourblocked,Casual,Ethnic - Embellished,Regular,TPR,
Shoetopia,Girls Ballerinas with Bows,₹699,MRP ₹999,(30% OFF),4,85 Ratings,"A pair of cream-coloured ballerinas
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,PU,
Pantaloons Junior,Girls Open Toe Flats,₹719,MRP ₹799,(10% OFF),3.6,5 Ratings,"A pair of round-toe grey solid  Open Toe Flats 
with regular styling and buckle closure
PU upper material
Cushioned footbed
Patterned TPU outsole",Open Toe Flats,Round Toe,Buckle,Solid,Casual,,Regular,TPU,
BAESD,Girls Printed Party Ballerinas,₹699,MRP ₹2499,(72% OFF),4.2,160 Ratings,"A pair of white & pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Western - Embellished,Regular,TPR,
BAESD,Girls Colourblocked Ballerinas Flats,₹659,MRP ₹1999,(67% OFF),4,22 Ratings,"A pair of peach-coloured ballerinas
Upper Material: Synthetic
Cushioned footbed
Textured and patterned PU outsole",Ballerinas,Round Toe,Velcro,Colourblocked,Casual,,Regular,PU,
BAESD,Girls Floral Printed Bow Embellished Ballerinas,₹624,MRP ₹2499,(75% OFF),4.6,27 Ratings,"A pair of white and silver-toned floral printed bow embellished ballerinas
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Casual,Bows,Regular,TPR,
Shoetopia,Girls Party Ballerinas with Buckles Flats,₹699,MRP ₹1999,(65% OFF),4.5,35 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Buckle,Solid,Party,Buckles,Regular,TPR,
BAESD,Girls Printed Bow Embellished Ballerinas,₹699,MRP ₹2499,(72% OFF),4.2,159 Ratings,"A pair of peach-coloured printed bow embellished ballerinas
Synthetic leather upper

Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Printed,Party,Bows,Regular,TPR,
BAESD,Girls Embellished Ballerinas,₹749,MRP ₹2999,(75% OFF),4.4,17 Ratings,"A pair of silver-toned embellished LED open toe flats with velcro details
Synthetic upper
Cushioned footbed
Rubber outsole",Ballerinas,Round Toe,Backstrap,Embellished,Party,Western - Embellished,Regular,TPR,
BAESD,Girls Embellished Round Toe Ballerinas,₹649,MRP ₹2499,(74% OFF),4.1,175 Ratings,"A pair of black and gold-toned embellished round toe ballerinas
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Features: 
Anti slip sole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Embellished Open Toe Flats,₹764,MRP ₹899,(15% OFF),4,8 Ratings,"A pair of beige open toe flats
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Buckle,Embellished,Casual,Western - Embellished,Regular,TPR,
BOYZ N GALZ,Girls Shimmered Party Ballerinas With Bows,₹746,MRP ₹899,(17% OFF),4.1,15 Ratings,"A pair of silver-toned ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Bows,Regular,PVC,
BAESD,Girls Bow Embellished Ballerinas,₹624,MRP ₹2499,(75% OFF),4.4,98 Ratings,"A pair of gold-toned embellished ballerinas
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Embellished,Party,Ethnic - Embellished,Regular,TPR,
toothless,Girls Printed Ballerinas Flats,₹559,MRP ₹799,(30% OFF),4.7,15 Ratings,"A pair of blue ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Printed,Casual,,Regular,TPR,
BAESD,Girls Printed Party Ballerinas with Bows Flats,₹699,MRP ₹2499,(72% OFF),4.2,97 Ratings,"A pair of peach-coloured ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Bows,Regular,TPR,
Tiny Bugs,Girls Round Toe Bows Detail Ballerinas,₹869,MRP ₹1499,(42% OFF),3,6 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Buckle,Solid,Casual,Bows,Regular,TPR,
BAESD,Girls Embellished Printed Party Ballerinas With Bows & LED Lights,₹774,MRP ₹3099,(75% OFF),4.3,303 Ratings,"A pair of pink ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Ankle Loop,Embellished,Party,Bows,Regular,TPR,
BOYZ N GALZ,Girls Embellished Round Toe Ballerinas,₹749,MRP ₹999,(25% OFF),4.3,7 Ratings,"A pair of pink embellished ballerinas
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Western - Embellished,Regular,TPR,
BAESD,Girls Embellished Velcro Ballerinas,₹624,MRP ₹2499,(75% OFF),4.4,161 Ratings,"A pair of yellow and gold-toned embellished ballerinas
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Embellished,Party,Western - Embellished,Regular,TPR,
Pantaloons Junior,Girls Embellished Ballerinas,₹759,MRP ₹799,(5% OFF),4.4,22 Ratings,"A pair of silver-toned embellished ballerinas
Pu upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Textured,Casual,Western - Embellished,Regular,TPR,
Shoetopia,Girls Printed Ballerinas with Bows Flats,₹799,MRP ₹1999,(60% OFF),4.4,28 Ratings,"A pair of grey ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,No Back Strap,Printed,Work,Bows,Regular,TPR,
BAESD,Girls Embellished Ballerinas,₹659,MRP ₹1999,(67% OFF),3.9,75 Ratings,"A pair of pink embellished ballerinas  
Synthetic patent upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Textured,Casual,Western - Embellished,Regular,PU,
